building_type,start_dynasty,count,ratio_in_type,ratio_in_dynasty
民居,清,98,0.502564,0.6125
民居,明,69,0.353846,0.469388
官府,明,41,0.390476,0.278912
官府,清,30,0.285714,0.1875
桥梁,明,29,0.315217,0.197279
桥梁,清,25,0.271739,0.15625
桥梁,宋,22,0.23913,0.536585
民居,宋,15,0.076923,0.365854
官府,元,9,0.085714,0.473684
宫殿,明,8,0.444444,0.054422
宫殿,清,7,0.388889,0.04375
官府,唐,6,0.057143,0.375
桥梁,唐,5,0.054348,0.3125
民居,元,5,0.025641,0.263158
民居,唐,5,0.025641,0.3125
官府,宋,4,0.038095,0.097561
桥梁,元,4,0.043478,0.210526
官府,东晋,3,0.028571,1.0
官府,东汉,3,0.028571,1.0
官府,隋,3,0.028571,0.5
官府,东周,2,0.019048,1.0
官府,五代十国,2,0.019048,0.5
宫殿,金,2,0.111111,0.4
桥梁,南北朝,2,0.021739,1.0
桥梁,金,2,0.021739,0.4
桥梁,隋,2,0.021739,0.333333
民居,五代十国,2,0.010256,0.5
官府,辽,1,0.009524,1.0
官府,金,1,0.009524,0.2
宫殿,元,1,0.055556,0.052632
桥梁,西晋,1,0.01087,1.0
民居,隋,1,0.005128,0.166667
